Scenario,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
GCAM 3.0AMPERE2-550-FullTech-HST,31473.4013,31534.8393,40907.7633,45322.7733,49593.9843,46537.1749,34198.3403,17104.7622,-2104.0685,-20854.81,-39564.813
GCAM 3.0AMPERE2-550-FullTech-LST,31473.4013,31534.8393,37914.2741,37998.2097,48041.1233,46281.3227,35558.0473,19777.4589,842.47479,-18741.244,-37126.903
GCAM 3.0AMPERE2-550-FullTech-OPT,31473.4013,31534.8393,39864.444,47084.8664,49879.5735,46691.4228,34205.6576,16935.5207,-2301.7356,-20989.859,-39707.685
GCAM 3.0AMPERE2-550-LimBio-OPT,31473.4013,31534.952,38049.1794,42437.6035,38801.822,30130.2124,20534.8051,13071.4931,6942.73376,2025.70786,-1024.7163
GCAM 3.0AMPERE2-550-LimSW-OPT,31473.4168,31550.8689,40129.267,47519.6604,50496.7795,47091.121,34132.9456,16911.2006,-2743.7429,-21720.402,-41394.163
GCAM 3.0AMPERE2-550-LowEI-OPT,31473.0847,30757.7545,37531.134,42977.5127,44677.2183,42664.6361,33782.2869,19615.6639,3049.31737,-15619.536,-32909.587
GCAM 3.0AMPERE2-550-NoCCS-OPT,31473.4013,31534.8393,37798.5222,43042.1805,42174.5391,34319.111,23880.8803,13769.1775,2971.89206,-4128.7002,-4413.282
GCAM 3.0AMPERE2-550-NucOff-OPT,31473.4013,31534.8393,39838.4015,47470.8992,50722.2073,47878.4928,35294.3652,16732.3646,-3533.5583,-22360.335,-42236.063
GCAM 3.0AMPERE2-Base-Conv-OPT,31473.4168,31550.977,42714.8795,53908.4958,63839.385,73505.9794,78851.9785,82711.8891,85021.2545,86378.6487,88770.484
GCAM 3.0AMPERE2-Base-EERE-OPT,31473.0847,30757.7545,39252.0175,47440.8781,53542.094,58802.6046,59943.8137,59754.287,57803.1768,55304.8035,52316.2024
GCAM 3.0AMPERE2-Base-FullTech-OPT,31473.4013,31534.8393,42317.3245,53124.934,62591.6856,71694.323,76544.1685,80062.2512,81611.265,82412.3748,83493.7259
GCAM 3.0AMPERE2-Base-LimBio-OPT,31473.4013,31534.952,42317.4004,53125.1853,62592.019,71694.7266,76544.6642,80062.9236,81963.1333,83107.4825,84484.0365
GCAM 3.0AMPERE2-Base-LimSW-OPT,31473.4168,31550.8689,42714.7963,53908.2645,63839.0418,73505.5728,78851.4748,82680.399,84444.5899,85399.5068,87344.5462
GCAM 3.0AMPERE2-Base-LowEI-OPT,31473.0847,30757.7545,39140.4628,46828.8563,52335.7227,56820.7992,57138.8619,56165.0163,53450.8762,50679.763,47673.3166
GCAM 3.0AMPERE2-Base-NucOff-OPT,31473.4013,31534.8393,42463.6452,53937.4038,64276.2543,74658.6562,80922.8434,85887.4517,89009.0848,90749.4947,93039.8038
GCAM 3.0AMPERE3-450,31473.4013,31678.1265,38660.7666,45110.9698,44768.1414,34990.0896,19397.6179,1208.72815,-17387.305,-37099.221,-57844.169
GCAM 3.0AMPERE3-450P-CE,31473.3993,31678.1368,38603.896,46071.5432,43844.7371,34636.4053,19108.6414,1129.5748,-17399.413,-37076.518,-57817.449
GCAM 3.0AMPERE3-450P-EU,31473.3993,31678.1368,39487.871,47419.6099,45118.7935,35081.5412,19182.908,1166.06831,-17384.212,-37079.511,-57832.335
GCAM 3.0AMPERE3-550,31473.4013,31678.1265,39660.5178,47541.0112,50744.1795,46992.9142,34172.7797,17064.6158,-2639.8618,-21628.976,-42437.114
GCAM 3.0AMPERE3-Base,31473.2625,31678.5835,43204.9027,55017.4497,65688.6796,76062.7231,82126.4407,86772.3217,89458.8302,92272.2104,95760.5473
GCAM 3.0AMPERE3-Base-EUback,31473.4012,31678.1268,41826.4062,52214.9493,63459.2924,75453.5046,81730.8326,86384.165,89308.2943,92285.8074,96090.2797
GCAM 3.0AMPERE3-CF450,31473.4013,31678.1263,39368.7653,45495.2426,44989.5906,35170.6176,19100.0119,823.44878,-17676.676,-37470.659,-58110.453
GCAM 3.0AMPERE3-CF450P-EU,31473.4012,31678.1268,41826.4062,52214.9493,49660.4421,36881.6257,19617.99,995.01042,-17475.489,-37146.773,-57853.525
GCAM 3.0AMPERE3-CF550,31473.4013,31678.1263,40412.3535,48100.433,51131.5054,47275.1453,33933.54,16546.4831,-3106.9781,-22079.903,-42890.035
GCAM 3.0AMPERE3-RefP-CEback,31473.3993,31678.1368,38603.896,46071.5432,51174.0398,53343.468,53935.4912,53900.6352,52994.1956,51383.2402,49473.0848
GCAM 3.0AMPERE3-RefP-EUback,31473.3993,31678.1368,39487.871,47419.6099,52309.4052,54477.9873,54982.5702,54904.5898,53737.2168,51398.2207,49706.2634
GCAM 3.0AMPERE3-RefPol,31473.3993,31678.1368,39787.4169,48131.2828,52770.9151,54537.4976,54976.5131,54792.5612,53594.2159,51287.9811,49551.4672
GCAM 3.0EMF27-450-Conv,31473.6245,34700.9707,12161.3236,11121.975,6976.37765,5488.54486,3289.90226,1023.40918,-1751.6041,-3619.3599,-6129.5925
GCAM 3.0EMF27-450-EERE,31473.3078,33875.6504,10673.4005,13236.1518,13148.7658,11201.2166,6111.63493,1422.45272,-2411.1029,-4536.5838,-4727.3585
GCAM 3.0EMF27-450-FullTech,31473.6245,34685.297,18519.5579,22313.1053,19524.1797,13378.7116,6531.40364,-147.74992,-6977.7926,-13063.101,-19966.499
