MODEL,SCENARIO,Year,MAF,OECD
Observations,Observations,1974,2.909151858886896,17.152996470667677
Observations,Observations,1975,2.8834075482955965,17.076304409624885
Observations,Observations,1976,3.059742757703222,17.752878879869368
Observations,Observations,1977,3.091123346851137,18.26315857672701
Observations,Observations,1978,3.034048064368367,18.913882425585285
Observations,Observations,1979,3.068575941429479,19.478994977476134
Observations,Observations,1980,3.027701036904389,19.538517830162185
Observations,Observations,1981,2.926057536822468,19.72436186666833
Observations,Observations,1982,2.940773607079229,19.603455416659017
Observations,Observations,1983,2.873521093090227,20.028020493263615
Observations,Observations,1984,2.8468515135680694,20.840847116912585
Observations,Observations,1985,2.8159500023634987,21.446475626981115
Observations,Observations,1986,2.7104946299090495,21.98792903925914
Observations,Observations,1987,2.680768760080359,22.627884941052425
Observations,Observations,1988,2.6377860006237612,23.484621589558813
Observations,Observations,1989,2.6313339023246076,24.151157804930648
Observations,Observations,1990,2.6582966170661044,24.464151737875987
Observations,Observations,1991,2.663419983666454,24.594380402883896
Observations,Observations,1992,2.752532516355066,24.975575335226896
Observations,Observations,1993,2.826167954586078,25.1695214351462
Observations,Observations,1994,2.887866702001269,25.78545901834634
Observations,Observations,1995,2.9742300234732713,26.383373730718006
Observations,Observations,1996,3.1460545614270155,27.052763998264016
Observations,Observations,1997,3.2650251695731956,27.85738126428972
Observations,Observations,1998,3.3939803610691883,28.600216997304443
Observations,Observations,1999,3.475068896914338,29.39127150586005
Observations,Observations,2000,3.6518666836478566,30.42320011647421
Observations,Observations,2001,3.799314704432987,30.680384741451533
Observations,Observations,2002,3.969166567208173,31.033476838704896
Observations,Observations,2003,4.219175414834511,31.53486037447218
Observations,Observations,2004,4.557048201621734,32.39765088249334
Observations,Observations,2005,4.837632323091214,33.13835393893281
Observations,Observations,2006,5.170578947528983,33.9321663236335
Observations,Observations,2007,5.521468917356693,34.585429486539965
Observations,Observations,2008,5.853322071430717,34.43518739349542
Observations,Observations,2009,6.041849262766862,33.06411501692268
Observations,Observations,2010,6.43718626776042,33.88802838832581
Observations,Observations,2011,6.724067650359157,34.3573511037731
Observations,Observations,2012,6.8589839568335496,34.54535265481239
Observations,Observations,2013,6.847821598868758,34.78082753210272
Observations,Observations,2014,6.923752952559044,35.212161835918366
Observations,Observations,2015,6.970447073244126,35.732639567162806
Observations,Observations,2016,7.00401847420442,35.837427801425086
Observations,Observations,2017,7.013824109389151,36.59038153428687
Observations,Observations,2018,6.98461229329448,37.220152240443134
Observations,Observations,2019,6.9166500036877085,37.64837147056217
Observations,Observations,2020,6.078295841133451,36.638804095326215
