MODEL,SCENARIO,REGION,scenariotype,Database,tolerance,variable,growth0520,growth0550,divergence0519
WITCH_AMPERE,AMPERE2-450-LowEI-LST,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.08714475231339,0.7972408738595149,-0.08923812738912051
WITCH_AMPERE,AMPERE2-550-LowEI-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.08714475231339,0.7972408738595149,-0.08923812738912051
WITCH_AMPERE,AMPERE2-550-NoCCS-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.08714475231339,0.7972408738595149,-0.08923812738912051
WITCH_EMF27,EMF27-550-EERE,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.08714475231339,0.7972408738595149,-0.08923812738912051
WITCH_EMF27,EMF27-550-LowEI,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.08714475231339,0.7972408738595149,-0.08923812738912051
WITCH_ROSE,ROSE 550 DEF,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0949717625998427,0.7556696789824279,-0.08141111710266768
WITCH_ROSE,ROSE 550 FS Gr,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0949717625998427,0.7556696789824279,-0.08141111710266768
WITCH_ROSE,ROSE 550 FS Gr SL Con,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0949717625998427,0.7556696789824279,-0.08141111710266768
WITCH_ROSE,ROSE WEAK-POL FS Gr SL Con,World,Policy,AR5,0.1%/y tolerance 2005-2019,population,1.0949717625998427,0.7556696789824279,-0.08141111710266768
WorldScan2,AMPERE3-Base,World,Baseline,AR5,0.1%/y tolerance 2005-2019,population,1.0178453862126702,0.8333681725214603,-0.15853749348984025
BET 1.5,EMF27-550-FullTech,World,Policy,AR5,0.1%/y tolerance 2005-2019,pcgdp,2.1993873269768827,2.223877315367875,0.4720751029078052
BET 1.5,EMF27-550-LowEI,World,Policy,AR5,0.1%/y tolerance 2005-2019,pcgdp,2.269893850483745,2.3427288781718163,0.5425816264146675
