Entity,Code,Year,"CO2 mitigation curves for 1.5C (Andrews & GCP, 2019)"
Start in 2005,,2017,28218093000
Start in 2005,,2018,27079672000
Start in 2005,,2019,25929997000
Start in 2005,,2020,24779284000
Start in 2005,,2021,23636088000
Start in 2005,,2022,22507509000
Start in 2005,,2023,21399382000
Start in 2005,,2024,20316438000
Start in 2005,,2025,19262452000
Start in 2005,,2026,18240371000
Start in 2005,,2027,17252428000
Start in 2005,,2028,16300242000
Start in 2005,,2029,15384907000
Start in 2005,,2030,14507069000
Start in 2005,,2031,13666997000
Start in 2005,,2032,12864639000
Start in 2005,,2033,12099678000
Start in 2005,,2034,11371575000
Start in 2005,,2035,10679612000
Start in 2005,,2036,10022924000
Start in 2005,,2037,9400531000
Start in 2005,,2038,8811363000
Start in 2005,,2039,8254282999.999999
Start in 2005,,2040,7728105000
Start in 2005,,2041,7231613000
Start in 2005,,2042,6763573000
Start in 2005,,2043,6322744000
Start in 2005,,2044,5907893000
Start in 2005,,2045,5517795000
Start in 2005,,2046,5151249000
Start in 2005,,2047,4807074000
Start in 2005,,2048,4484124000
Start in 2005,,2049,4181282000.0000005
Start in 2005,,2050,3897468000
Start in 2005,,2051,3631641000
Start in 2005,,2052,3382798000
Start in 2005,,2053,3149976000
Start in 2005,,2054,2932253000
Start in 2005,,2055,2728748000
Start in 2005,,2056,2538620000
Start in 2005,,2057,2361069000
Start in 2005,,2058,2195331000
Start in 2005,,2059,2040684999.9999998
Start in 2005,,2060,1896445000
Start in 2005,,2061,1761960000
Start in 2005,,2062,1636616000
Start in 2005,,2063,1519832000
Start in 2005,,2064,1411061000
Start in 2005,,2065,1309786000
Start in 2005,,2066,1215519000
Start in 2005,,2067,1127801000
Start in 2005,,2068,1046202000.0000001
Start in 2005,,2069,970316000
Start in 2005,,2070,899763000
Start in 2005,,2071,834184000
Start in 2005,,2072,773245000
Start in 2005,,2073,716631000
Start in 2005,,2074,664048000
Start in 2005,,2075,615221000
Start in 2005,,2076,569891000
Start in 2005,,2077,527817000
Start in 2005,,2078,488773000
Start in 2005,,2079,452549000
Start in 2005,,2080,418948000
Start in 2005,,2081,387786000
Start in 2005,,2082,358892000
Start in 2005,,2083,332104000
Start in 2005,,2084,307275000
Start in 2005,,2085,284265000
Start in 2005,,2086,262944000
Start in 2005,,2087,243192000
Start in 2005,,2088,224896000
Start in 2005,,2089,207951000
Start in 2005,,2090,192261000
Start in 2005,,2091,177734000
Start in 2005,,2092,164286000
Start in 2005,,2093,151840000
Start in 2005,,2094,140320000
Start in 2005,,2095,129662000
Start in 2005,,2096,119800000
Start in 2005,,2097,110677000
Start in 2005,,2098,102239000
Start in 2005,,2099,94435000
Start in 2005,,2100,87218000
Start in 2006,,2006,34881629000
Start in 2006,,2007,35807053000
Start in 2006,,2008,36268132000
Start in 2006,,2009,36342365000
Start in 2006,,2010,36096931000
Start in 2006,,2011,35589931000
Start in 2006,,2012,34871492000
Start in 2006,,2013,33984735000
Start in 2006,,2014,32966647000
Start in 2006,,2015,31848836000
Start in 2006,,2016,30658215000
Start in 2006,,2017,29417591000
Start in 2006,,2018,28146198000
Start in 2006,,2019,26860157000
Start in 2006,,2020,25572887000
Start in 2006,,2021,24295465000
Start in 2006,,2022,23036943000
Start in 2006,,2023,21804629000
Start in 2006,,2024,20604327000
Start in 2006,,2025,19440554000
Start in 2006,,2026,18316727000
Start in 2006,,2027,17235327000
Start in 2006,,2028,16198042999.999998
Start in 2006,,2029,15205894000
Start in 2006,,2030,14259341000
Start in 2006,,2031,13358379000
Start in 2006,,2032,12502619000
Start in 2006,,2033,11691359000
Start in 2006,,2034,10923645000
Start in 2006,,2035,10198321000
Start in 2006,,2036,9514078000
Start in 2006,,2037,8869489000
Start in 2006,,2038,8263042000
Start in 2006,,2039,7693169000
Start in 2006,,2040,7158269000
Start in 2006,,2041,6656724000
Start in 2006,,2042,6186919000
Start in 2006,,2043,5747257000
Start in 2006,,2044,5336163000
Start in 2006,,2045,4952099000
Start in 2006,,2046,4593567000
Start in 2006,,2047,4259118000
Start in 2006,,2048,3947353000
Start in 2006,,2049,3656926000
Start in 2006,,2050,3386547000
Start in 2006,,2051,3134985000
Start in 2006,,2052,2901063000
Start in 2006,,2053,2683664000
Start in 2006,,2054,2481725000
Start in 2006,,2055,2294242000
Start in 2006,,2056,2120261000.0000002
Start in 2006,,2057,1958885000
Start in 2006,,2058,1809266000
Start in 2006,,2059,1670606000
Start in 2006,,2060,1542153000
Start in 2006,,2061,1423202000
Start in 2006,,2062,1313092000
Start in 2006,,2063,1211202000
Start in 2006,,2064,1116952000
Start in 2006,,2065,1029795999.9999999
Start in 2006,,2066,949228000
Start in 2006,,2067,874772000
Start in 2006,,2068,805986000
Start in 2006,,2069,742455000
Start in 2006,,2070,683795000
Start in 2006,,2071,629647000
Start in 2006,,2072,579677000
Start in 2006,,2073,533575000
Start in 2006,,2074,491051000
Start in 2006,,2075,451837000
Start in 2006,,2076,415684000
Start in 2006,,2077,382360000
Start in 2006,,2078,351651000
Start in 2006,,2079,323357000
Start in 2006,,2080,297294000
Start in 2006,,2081,273291000
Start in 2006,,2082,251189000
Start in 2006,,2083,230841000
Start in 2006,,2084,212113000
Start in 2006,,2085,194877000
Start in 2006,,2086,179018000
Start in 2006,,2087,164428000
Start in 2006,,2088,151008000
Start in 2006,,2089,138666000
Start in 2006,,2090,127317000.00000001
Start in 2006,,2091,116883000
Start in 2006,,2092,107292000
Start in 2006,,2093,98476000
Start in 2006,,2094,90375000
Start in 2006,,2095,82931000
Start in 2006,,2096,76092000
Start in 2006,,2097,69810000
Start in 2006,,2098,64040000
Start in 2006,,2099,58741000
Start in 2006,,2100,53875000
Start in 2007,,2007,34809941000
Start in 2007,,2008,35521819000
Start in 2007,,2009,35802941000
Start in 2007,,2010,35727017000
Start in 2007,,2011,35357798000
Start in 2007,,2012,34750286000
Start in 2007,,2013,33951808000
Start in 2007,,2014,33002969000
Start in 2007,,2015,31938486000
Start in 2007,,2016,30787935000
Start in 2007,,2017,29576403000
Start in 2007,,2018,28325068000
Start in 2007,,2019,27051707000
Start in 2007,,2020,25771144000
Start in 2007,,2021,24495646000
Start in 2007,,2022,23235266000
Start in 2007,,2023,21998155000
Start in 2007,,2024,20790819000
Start in 2007,,2025,19618363000
Start in 2007,,2026,18484686000
Start in 2007,,2027,17392669000
Start in 2007,,2028,16344324000
Start in 2007,,2029,15340933000
Start in 2007,,2030,14383165000
Start in 2007,,2031,13471181000
Start in 2007,,2032,12604718000
Start in 2007,,2033,11783170000
Start in 2007,,2034,11005652000
Start in 2007,,2035,10271059000
Start in 2007,,2036,9578110000
Start in 2007,,2037,8925395000
Start in 2007,,2038,8311407000.000001
Start in 2007,,2039,7734574000
Start in 2007,,2040,7193280000
Start in 2007,,2041,6685893000
Start in 2007,,2042,6210776000
Start in 2007,,2043,5766305000
Start in 2007,,2044,5350880000
Start in 2007,,2045,4962933000
