Entity,Code,Year,"CO2 mitigation curves for 2C (Andrews & GCP, 2019)"
Start in 2005,,2020,34341742000.000004
Start in 2005,,2021,33774448000
Start in 2005,,2022,33173791000
Start in 2005,,2023,32544747000
Start in 2005,,2024,31891870000
Start in 2005,,2025,31219316000
Start in 2005,,2026,30530874000
Start in 2005,,2027,29829994000
Start in 2005,,2028,29119813000
Start in 2005,,2029,28403173000
Start in 2005,,2030,27682649000
Start in 2005,,2031,26960566000
Start in 2005,,2032,26239019000
Start in 2005,,2033,25519888000
Start in 2005,,2034,24804860000
Start in 2005,,2035,24095439000
Start in 2005,,2036,23392962000
Start in 2005,,2037,22698613000
Start in 2005,,2038,22013435000
Start in 2005,,2039,21338340000
Start in 2005,,2040,20674122000
Start in 2005,,2041,20021465000
Start in 2005,,2042,19380954000
Start in 2005,,2043,18753081000
Start in 2005,,2044,18138256000
Start in 2005,,2045,17536811000
Start in 2005,,2046,16949009000
Start in 2005,,2047,16375052000
Start in 2005,,2048,15815081000
Start in 2005,,2049,15269188000
Start in 2005,,2050,14737416000
Start in 2005,,2051,14219767000
Start in 2005,,2052,13716205000
Start in 2005,,2053,13226660000
Start in 2005,,2054,12751029000
Start in 2005,,2055,12289186000
Start in 2005,,2056,11840977000
Start in 2005,,2057,11406230000
Start in 2005,,2058,10984752000
Start in 2005,,2059,10576335000
Start in 2005,,2060,10180757000
Start in 2005,,2061,9797783000
Start in 2005,,2062,9427170000
Start in 2005,,2063,9068663000
Start in 2005,,2064,8722004000
Start in 2005,,2065,8386926000.000001
Start in 2005,,2066,8063160000
Start in 2005,,2067,7750434000
Start in 2005,,2068,7448471000
Start in 2005,,2069,7156997000
Start in 2005,,2070,6875734000
Start in 2005,,2071,6604407000
Start in 2005,,2072,6342741000
Start in 2005,,2073,6090463000
Start in 2005,,2074,5847302000
Start in 2005,,2075,5612992000
Start in 2005,,2076,5387267000
Start in 2005,,2077,5169867000
Start in 2005,,2078,4960535000
Start in 2005,,2079,4759018000
Start in 2005,,2080,4565068000
Start in 2005,,2081,4378443000
Start in 2005,,2082,4198902999.9999995
Start in 2005,,2083,4026216000
Start in 2005,,2084,3860153000
Start in 2005,,2085,3700491000
Start in 2005,,2086,3547013000
Start in 2005,,2087,3399506000
Start in 2005,,2088,3257763000
Start in 2005,,2089,3121584000
Start in 2005,,2090,2990772000
Start in 2005,,2091,2865137000
Start in 2005,,2092,2744492000
Start in 2005,,2093,2628659000
Start in 2005,,2094,2517462000
Start in 2005,,2095,2410732000
Start in 2005,,2096,2308305000
Start in 2005,,2097,2210021000
Start in 2005,,2098,2115724999.9999998
Start in 2005,,2099,2025269000.0000002
Start in 2005,,2100,1938507000
Start in 2006,,2006,34881629000
Start in 2006,,2007,35948735000
Start in 2006,,2008,36792601000
Start in 2006,,2009,37434575000
Start in 2006,,2010,37894329000
Start in 2006,,2011,38189984000
Start in 2006,,2012,38338214000
Start in 2006,,2013,38354358000
Start in 2006,,2014,38252510000
Start in 2006,,2015,38045614000
Start in 2006,,2016,37745547000
