"Group","Year","pcrGDP","src_pcrGDP","sd_src_pcrGDP","theta"
"C",1975,2.50894191395044,3.56843196443873,3.01732848850125,1.25928708080752
"C",1976,2.56193170826332,2.0900431444004,3.01467265552982,1.24427015199455
"C",1977,2.6276512701877,2.53288465352058,3.0116732349376,1.22678834284073
"C",1978,2.75727919675662,4.81540012142307,3.00583875054465,1.19807127831039
"C",1979,2.8697001927594,3.99631666279929,3.00069233725997,1.1788878092564
"C",1980,2.96386903090548,3.2287957991719,2.99658544607127,1.16568509420599
"C",1981,2.97892441907617,0.506678231583813,2.99597466616228,1.16370758959353
"C",1982,3.08441219466779,3.47988004591573,2.99167109649023,1.15068722467367
"C",1983,3.11337536882513,0.934636261696387,2.99057081877124,1.14649689545313
"C",1984,3.28825302298917,5.46489624515718,2.98523807559457,1.11669466257795
"C",1985,3.43598707252704,4.39478140567395,2.98130188637366,1.09403163186102
"C",1986,3.52136239436429,2.45437168275788,2.97926860645071,1.08254414728285
"C",1987,3.66094129361774,3.88723398143447,2.97612440303219,1.06714240917405
"C",1988,3.73114035917985,1.89936148569421,2.97466288575097,1.0602206102634
"C",1989,3.75474820071563,0.63073126486306,2.97422571441178,1.05764312500427
"C",1990,3.75357438037449,-0.0312671795337671,2.97424638587103,1.05778357631726
"C",1991,3.85331826723046,2.62261105742647,2.97261946463873,1.04621497087038
"C",1992,4.02300404236083,4.30942330994926,2.9703617188203,1.02912853020768
"C",1993,4.26576179217588,5.8591882026868,2.96728773656116,1.01327986476578
"C",1994,4.46468802378853,4.55785605888555,2.96419247674661,1.00692810852595
"C",1995,4.67498246570176,4.60260716861816,2.95911224325495,1.00137463813898
"C",1996,4.901525375272,4.73210456667863,2.95455183496468,0.994236156311304
"C",1997,5.04383493698762,2.86202351930684,2.95111049719722,0.990830990648035
"C",1998,5.0691865465636,0.501366732428599,2.95028773707794,0.989596722457131
"C",1999,5.18113463368697,2.18437132719429,2.9467467452844,0.984615485881774
"C",2000,5.45841476551922,5.21343380780011,2.93899123878485,0.971876518822633
"C",2001,5.63026261670034,3.09976753983652,2.93436122403091,0.967129379115546
"C",2002,5.94080039958873,5.3687784688411,2.92608451687373,0.968355508025589
"C",2003,6.22101832705921,4.60897398250038,2.91786716435349,0.975372236658349
"C",2004,6.63676818332724,6.46915140961382,2.90519027385961,1.00004043669786
"C",2005,7.09728457126934,6.7087130518412,2.88934662191898,1.04574276653476
