"Grouping","Model","IC_Year","Year","High income","Low income","Lower-middle income","Upper-middle income"
"WB","Kuznets",2006,2015,38.3808638508236,1.3828011973412,5.4217531009712,11.678637709792
"WB","Kuznets",2006,2016,38.8846114589121,1.43527526360052,5.65188076614449,12.1202021946465
"WB","Kuznets",2006,2017,39.3801185394703,1.48999630179542,5.89147062046446,12.573147280188
"WB","Kuznets",2006,2018,39.8672356113426,1.54708236860004,6.14077416761388,13.0373180332794
"WB","Kuznets",2006,2019,40.3458323013786,1.60665714284986,6.40003479331432,13.5125284587503
"WB","Kuznets",2006,2020,40.8157968032771,1.66885012251301,6.66948627481429,13.9985615034691
"WB","Kuznets",2006,2021,41.2770352938578,1.73379681621419,6.94935124891047,14.4951692502121
"WB","Kuznets",2006,2022,41.7294713128677,1.80163892744377,7.23983964864373,15.0020733031382
"WB","Kuznets",2006,2023,42.1730451121933,1.87252452937973,7.54114711990762,15.5189653645839
"WB","Kuznets",2006,2024,42.6077129800882,1.94660822803787,7.85345343022316,16.0455080007836
"WB","Kuznets",2006,2025,43.0334465457353,2.02405131124887,8.17692088284654,16.5813355920307
"WB","Kuznets",2007,2007,34.2838319249928,1.05660187549174,3.96712754686549,8.85585583409224
"WB","Kuznets",2007,2008,34.8580321456568,1.09816228921584,4.13887026472486,9.22175875931608
"WB","Kuznets",2007,2009,35.425690545034,1.1411334378526,4.31837638382734,9.59973625673189
"WB","Kuznets",2007,2010,35.986477091324,1.18568022510187,4.50593217283106,9.98984323106062
"WB","Kuznets",2007,2011,36.5400842701918,1.23205063947547,4.70182486911007,10.3921065768993
"WB","Kuznets",2007,2012,37.0862271138708,1.28035902715817,4.90634160683097,10.8065239506682
"WB","Kuznets",2007,2013,37.624643127639,1.33071119818754,5.11976825645284,11.2330626808969
"WB","Kuznets",2007,2014,38.1550921204869,1.38321822692505,5.34238817766121,11.6716588317777
"WB","Kuznets",2007,2015,38.6773559470529,1.43799667611408,5.57448088892032,12.1222164336717
"WB","Kuznets",2007,2016,39.1912381680773,1.4951688202724,5.81632065807214,12.5846068927699
"WB","Kuznets",2007,2017,39.6965636367052,1.554862867046,6.06817501971009,13.0586685903983
"WB","Kuznets",2007,2018,40.1931780179792,1.61721317495121,6.33030322639188,13.5442066805493
"WB","Kuznets",2007,2019,40.6809472487958,1.68236046572029,6.60295464210933,14.0409930921383
"WB","Kuznets",2007,2020,41.159756945473,1.75045202924334,6.88636708777977,14.5487667402714
"WB","Kuznets",2007,2021,41.629511765892,1.82164191886717,7.18076514983791,15.0672339484938
"WB","Kuznets",2007,2022,42.0901347329481,1.89609113457151,7.48635846426378,15.5960690816168
"WB","Kuznets",2007,2023,42.5415665257727,1.97396779129593,7.80333998955129,16.1349153863304
"WB","Kuznets",2007,2024,42.9837647448849,2.05544726944092,8.13188428317704,16.6833860344475
"WB","Kuznets",2007,2025,43.4167031571034,2.14071234431475,8.47214579704058,17.2410653613248
"WB","Kuznets",2008,2008,34.3386102934591,1.10575665798146,4.13924649284559,9.23794669520613
"WB","Kuznets",2008,2009,34.8880595358804,1.14970184632992,4.31981285986085,9.6159769268821
"WB","Kuznets",2008,2010,35.4304785903619,1.19528933939769,4.50848240608382,10.0059674188267
"WB","Kuznets",2008,2011,35.9655812477559,1.24278025576755,4.70554020763789,10.4079246652978
"WB","Kuznets",2008,2012,36.4931037874112,1.29228369913821,4.91127055151452,10.8218252008292
"WB","Kuznets",2008,2013,37.0128048210046,1.34391006828696,5.12595571450747,11.2476146092403
"WB","Kuznets",2008,2014,37.5244650451963,1.39777524125148,5.34987465606233,11.6852066975793
"WB","Kuznets",2008,2015,38.0278869105009,1.45400080125399,5.58330162904169,12.1344828479462
"WB","Kuznets",2008,2016,38.5228942138626,1.51271426052167,5.82650471372369,12.5952915584605
"WB","Kuznets",2008,2017,39.0093316224452,1.57404928040629,6.07974428171601,13.0674481827307
"WB","Kuznets",2008,2018,39.4870641360869,1.63814588598661,6.34327139785838,13.5507348750966
"WB","Kuznets",2008,2019,39.9559764957484,1.70515067310709,6.61732616957971,14.0449007466704
"WB","Kuznets",2008,2020,40.4159725451007,1.77521700556625,6.90213605454714,14.5496622348528
"WB","Kuznets",2008,2021,40.8669745521656,1.84850519991924,7.19791413876476,15.0647036865684
"WB","Kuznets",2008,2022,41.3089224976485,1.92518269510412,7.50485739852133,15.5896781530111
"WB","Kuznets",2008,2023,41.7417733362921,2.00542420384222,7.82314496071963,16.1242083912477
"WB","Kuznets",2008,2024,42.1655002372411,2.08941184250314,8.15293637711476,16.6678880656433
"WB","Kuznets",2008,2025,42.5800918090512,2.17733523586835,8.49436992881749,17.2202831397882
"WB","Kuznets",2009,2009,33.1789520301365,1.13965186199967,4.32977960171158,9.36865598863107
"WB","Kuznets",2009,2010,33.6658617063166,1.18491412990411,4.51936466080755,9.74597804937917
"WB","Kuznets",2009,2011,34.1453208396029,1.23207418583367,4.71730126869709,10.13450977408
