VariableCode,RegionCode,YearCode,AggValue
ctfp,AUT,1987,0.79016196727752700
ctfp,AUT,1988,0.80151790380477900
ctfp,AUT,1989,0.80887812376022300
ctfp,AUT,1990,0.80889552831649800
ctfp,AUT,1991,0.82294780015945400
ctfp,AUT,1992,0.80850869417190600
ctfp,AUT,1993,0.80209928750991800
ctfp,AUT,1994,0.81822162866592400
ctfp,AUT,1995,0.84375667572021500
ctfp,AUT,1996,0.82359290122985800
ctfp,AUT,1997,0.85290426015853900
ctfp,AUT,1998,0.88429993391037000
ctfp,AUT,1999,0.89381867647171000
ctfp,AUT,2000,0.92213249206543000
ctfp,AUT,2001,0.91303110122680700
ctfp,AUT,2002,0.93481838703155500
ctfp,AUT,2003,0.91469287872314500
ctfp,AUT,2004,0.91211670637130700
ctfp,AUT,2005,0.94354408979415900
ctfp,AUT,2006,0.93682485818862900
ctfp,AUT,2007,0.93140506744384800
ctfp,AUT,2008,0.90466552972793600
ctfp,AUT,2009,0.86583280563354500
ctfp,AUT,2010,0.83338254690170300
ctfp,AUT,2011,0.81617158651351900
ctfp,AUT,2012,0.79560190439224200
ctfp,AUT,2013,0.78064090013504000
ctfp,AUT,2014,0.79672122001647900
ctfp,AUT,2015,0.80354422330856300
ctfp,AUT,2016,0.79679667949676500
ctfp,AUT,2017,0.81571936607360800
ctfp,AUT,2018,0.81051075458526600
ctfp,AUT,2019,0.80370581150054900
ctfp,BDI,1980,0.27275091409683200
ctfp,BDI,1981,0.27803397178649900
ctfp,BDI,1982,0.26830989122390700
ctfp,BDI,1983,0.25577822327613800
ctfp,BDI,1984,0.23998798429966000
ctfp,BDI,1985,0.24526771903038000
ctfp,BDI,1986,0.25265306234359700
ctfp,BDI,1987,0.24304774403572100
ctfp,BDI,1988,0.26026156544685400
ctfp,BDI,1989,0.23647008836269400
ctfp,BDI,1990,0.29348149895668000
ctfp,BDI,1991,0.31673154234886200
ctfp,BDI,1992,0.30041176080703700
ctfp,BDI,1993,0.23337344825267800
ctfp,BDI,1994,0.23288282752037000
ctfp,BDI,1995,0.22290645539760600
ctfp,BDI,1996,0.20035310089588200
ctfp,BDI,1997,0.15574590861797300
ctfp,BDI,1998,0.15782468020916000
ctfp,BDI,1999,0.13018529117107400
ctfp,BDI,2000,0.16132551431655900
ctfp,BDI,2001,0.15271255373954800
ctfp,BDI,2002,0.16909229755401600
ctfp,BDI,2003,0.14820390939712500
ctfp,BDI,2004,0.14231990277767200
ctfp,BDI,2005,0.17111939191818200
ctfp,BDI,2006,0.15436135232448600
ctfp,BDI,2007,0.14933714270591700
ctfp,BDI,2008,0.15628033876419100
ctfp,BDI,2009,0.15841703116893800
ctfp,BDI,2010,0.16431275010108900
ctfp,BDI,2011,0.18020127713680300
ctfp,BDI,2012,0.19258293509483300
ctfp,BDI,2013,0.22073982656002000
ctfp,BDI,2014,0.22457090020179700
ctfp,BDI,2015,0.22037218511104600
ctfp,BDI,2016,0.21826161444187200
ctfp,BDI,2017,0.20915038883686100
ctfp,BDI,2018,0.20307400822639500
ctfp,BDI,2019,0.19667540490627300
ctfp,BEL,1954,0.69853866100311300
ctfp,BEL,1955,0.69868481159210200
ctfp,BEL,1956,0.70854800939559900
ctfp,BEL,1957,0.70029258728027300
ctfp,BEL,1958,0.70543628931045500
ctfp,BEL,1959,0.70616948604583700
ctfp,BEL,1960,0.68652617931366000
ctfp,BEL,1961,0.71112895011901900
ctfp,BEL,1962,0.74172639846801800
ctfp,BEL,1963,0.75529259443283100
ctfp,BEL,1964,0.77974724769592300
ctfp,BEL,1965,0.78781676292419400
ctfp,BEL,1966,0.78724652528762800
ctfp,BEL,1967,0.81313431262970000
