MODEL,SCENARIO,REGION,variable,filter,growtherror,ieadivergencestps2020,2005-2040 divergence from IEA STPS
WITCH-GLOBIOM,SSP5-45,World,pcgdpppp,0.3%/y tolerance 2005-2040,0.4866350230143133,1.8105594708276724,1.2431632789076614
WITCH-GLOBIOM,SSP5-45,World,pop,0.3%/y tolerance 2005-2040,-0.1915665862885252,-0.3026628649329083,-0.2550501740853155
AIM/CGE,SSP1-19,World,co2intensity,Other Scenarios,0.03005499748302809,-2.441062798674066,-1.3820123146067398
AIM/CGE,SSP1-19,World,energyintensity,Other Scenarios,-1.1394149240759277,-2.5808954555157952,-1.963118084898709
AIM/CGE,SSP1-19,World,fossilco2,Other Scenarios,-0.7132451136152707,-4.203003084183743,-2.7073925253686832
AIM/CGE,SSP1-19,World,pcgdpppp,Other Scenarios,0.6019347427496526,1.1531973244522278,0.9169419322939812
AIM/CGE,SSP1-19,World,pop,Other Scenarios,-0.20581992977202357,-0.33424215444610994,-0.2792040581572158
AIM/CGE,SSP1-26,World,co2intensity,Other Scenarios,0.03109383582914116,-0.778584319507508,-0.43157939579180116
AIM/CGE,SSP1-26,World,energyintensity,Other Scenarios,-1.1377379919290482,-2.0035341625345207,-1.632478660846461
AIM/CGE,SSP1-26,World,fossilco2,Other Scenarios,-0.7104222229566453,-1.8956326521505567,-1.387685325353166
AIM/CGE,SSP1-26,World,pcgdpppp,Other Scenarios,0.6020418629152855,1.2207279843375818,0.955576789442312
AIM/CGE,SSP1-26,World,pop,Other Scenarios,-0.20581992977202357,-0.33424215444610994,-0.2792040581572158
AIM/CGE,SSP1-34,World,co2intensity,Other Scenarios,0.03109383582914116,0.1525951620501142,0.1005231650982686
AIM/CGE,SSP1-34,World,energyintensity,Other Scenarios,-1.1377379919290482,-1.3465930866131002,-1.257083760319935
AIM/CGE,SSP1-34,World,fossilco2,Other Scenarios,-0.7104222229566453,-0.2596856735975612,-0.45285848046574007
AIM/CGE,SSP1-34,World,pcgdpppp,Other Scenarios,0.6020418629152855,1.2685544054115345,0.9829061729131421
AIM/CGE,SSP1-34,World,pop,Other Scenarios,-0.20581992977202357,-0.33424215444610994,-0.2792040581572158
AIM/CGE,SSP2-19,World,co2intensity,Other Scenarios,0.10490750631504686,-2.7712313502783346,-1.5386004117383139
AIM/CGE,SSP2-19,World,energyintensity,Other Scenarios,-0.3515586926051826,-1.5652301525526244,-1.0450852411465779
AIM/CGE,SSP2-19,World,fossilco2,Other Scenarios,0.1273281468873786,-4.444871054125688,-2.4853571108343737
AIM/CGE,SSP2-19,World,pcgdpppp,Other Scenarios,0.49670738479880105,0.017675897472428592,0.2229751063265882
AIM/CGE,SSP2-19,World,pop,Other Scenarios,-0.12272805162128675,-0.12608544876715755,-0.12464656427607004
AIM/CGE,SSP2-26,World,co2intensity,Other Scenarios,0.10471845686998815,-0.8065813882086569,-0.4160243117463804
AIM/CGE,SSP2-26,World,energyintensity,Other Scenarios,-0.3518409387839374,-0.9433608531605228,-0.6898523184277005
AIM/CGE,SSP2-26,World,fossilco2,Other Scenarios,0.12690025893944235,-1.7598404507924919,-0.9512372894788058
AIM/CGE,SSP2-26,World,pcgdpppp,Other Scenarios,0.49675079247467835,0.11618723934384534,0.2792859049713452
AIM/CGE,SSP2-26,World,pop,Other Scenarios,-0.12272805162128675,-0.12608544876715755,-0.12464656427607004
AIM/CGE,SSP2-45,World,co2intensity,Other Scenarios,0.10471845686998815,0.4965005305113822,0.32859392752221334
AIM/CGE,SSP2-45,World,energyintensity,Other Scenarios,-0.3518409387839374,0.11969823565117033,-0.08238998196387583
AIM/CGE,SSP2-45,World,fossilco2,Other Scenarios,0.12690025893944235,0.7259559936875097,0.46921782165262366
AIM/CGE,SSP2-45,World,pcgdpppp,Other Scenarios,0.49675079247467835,0.23584267629211475,0.34766044037035626
AIM/CGE,SSP2-45,World,pop,Other Scenarios,-0.12272805162128675,-0.12608544876715755,-0.12464656427607004
AIM/CGE,SSP2-60,World,co2intensity,Other Scenarios,0.10471845686998815,0.5963836746856885,0.3856700099075312
AIM/CGE,SSP2-60,World,energyintensity,Other Scenarios,-0.3518409387839374,0.2514687382853956,-0.007092551887175669
AIM/CGE,SSP2-60,World,fossilco2,Other Scenarios,0.12690025893944235,0.9644966559815163,0.6055267715349132
AIM/CGE,SSP2-60,World,pcgdpppp,Other Scenarios,0.49675079247467835,0.24272969177758974,0.3515958777906277
AIM/CGE,SSP2-60,World,pop,Other Scenarios,-0.12272805162128675,-0.12608544876715755,-0.12464656427607004
AIM/CGE,SSP2-Baseline,World,co2intensity,Other Scenarios,0.22134635430378835,0.8999134517925121,0.6090989814402019
AIM/CGE,SSP2-Baseline,World,energyintensity,Other Scenarios,-0.16619897929034932,0.44350108760081863,0.18220105893317518
AIM/CGE,SSP2-Baseline,World,fossilco2,Other Scenarios,0.43175760034991995,1.4664525357853024,1.0230118491701385
AIM/CGE,SSP2-Baseline,World,pcgdpppp,Other Scenarios,0.49933827695776767,0.2491234451591292,0.35635837307283136
AIM/CGE,SSP2-Baseline,World,pop,Other Scenarios,-0.12272805162128675,-0.12608544876715755,-0.12464656427607004
AIM/CGE,SSP3-34,World,co2intensity,Other Scenarios,0.06382170105028728,-0.12697886799568747,-0.04520719554741258
AIM/CGE,SSP3-34,World,energyintensity,Other Scenarios,-0.058440971728102475,0.0888191222378013,0.02570765339527111
AIM/CGE,SSP3-34,World,fossilco2,Other Scenarios,0.32589817426983037,-0.8260390834566051,-0.3323516872881328
AIM/CGE,SSP3-34,World,pcgdpppp,Other Scenarios,0.3786763388440779,-0.8691735051007513,-0.3343807148386816
AIM/CGE,SSP3-34,World,pop,Other Scenarios,-0.05815889389643236,0.08129416740203232,0.021528569702690313
AIM/CGE,SSP3-60,World,co2intensity,Other Scenarios,0.06382170105028728,0.49623221930100814,0.3109134257649849
AIM/CGE,SSP3-60,World,energyintensity,Other Scenarios,-0.058440971728102475,0.7999381386444019,0.4320613770561857
AIM/CGE,SSP3-60,World,fossilco2,Other Scenarios,0.32589817426983037,0.6073315422726393,0.48671724170000685
AIM/CGE,SSP3-60,World,pcgdpppp,Other Scenarios,0.3786763388440779,-0.770132983074803,-0.27778613082385406
AIM/CGE,SSP3-60,World,pop,Other Scenarios,-0.05815889389643236,0.08129416740203232,0.021528569702690313
AIM/CGE,SSP3-Baseline,World,co2intensity,Other Scenarios,0.15648697752429097,0.8737163986581807,0.5663323610293708
AIM/CGE,SSP3-Baseline,World,energyintensity,Other Scenarios,0.08794581655948597,1.2824100062733281,0.770496782110253
AIM/CGE,SSP3-Baseline,World,fossilco2,Other Scenarios,0.5681761446881681,1.5041938223215305,1.1030433890500895
AIM/CGE,SSP3-Baseline,World,pcgdpppp,Other Scenarios,0.38190224450082355,-0.7332267500120108,-0.25531432379222463
AIM/CGE,SSP3-Baseline,World,pop,Other Scenarios,-0.05815889389643236,0.08129416740203232,0.021528569702690313
AIM/CGE,SSP4-26,World,co2intensity,Other Scenarios,0.08352394496540994,-0.8617572749745338,-0.4566367521431293
AIM/CGE,SSP4-26,World,energyintensity,Other Scenarios,-0.19124654634995109,-0.7548037488584666,-0.5132792334976741
AIM/CGE,SSP4-26,World,fossilco2,Other Scenarios,0.23852010754276343,-1.5919490931485907,-0.8074622928522961
AIM/CGE,SSP4-26,World,pcgdpppp,Other Scenarios,0.4800060929671446,0.16807974799223324,0.30176246726719524
AIM/CGE,SSP4-26,World,pop,Other Scenarios,-0.13376338403984,-0.14346781730782354,-0.13930877447868772
AIM/CGE,SSP4-45,World,co2intensity,Other Scenarios,0.08352394496540994,0.28095881931109773,0.19634387316294583
AIM/CGE,SSP4-45,World,energyintensity,Other Scenarios,-0.19124654634995109,0.09429367773778385,-0.028080704014102544
AIM/CGE,SSP4-45,World,fossilco2,Other Scenarios,0.23852010754276343,0.46876777984198253,0.3700902059994601
