MODEL,SCENARIO,REGION,variable,growtherror,ieadivergencecps,ieadivergencestps,ieadivergencestps2020,errorplusdivergencestps,errorplusdivergencestps2020,absgrowtherror,absieadivergencecps,absieadivergencestps,absieadivergencestps2020,abserrorplusdivergencestps,abserrorplusdivergencestps2020,errorpctile,ieadivergencecpspctile,ieadivergencestpspctile,ieadivergencestpspctile2020,errorplusdivergencestpspctile,errorplusdivergencestpspctile2020,divergence01t0520,divergence02t0520,divergence03t0520,divergence01t2040,divergence02t2040,divergence03t2040,divergence01t0540,divergence02t0540,divergence03t0540
REMIND 1.3,AME CO2 price $30 (5% p.a.),World,pcgdpmer,0.8099846802555417,-0.5279107262016214,-0.5279107262016214,-0.15559791020162173,0.04547301942287707,0.25822319999430543,0.8099846802555417,0.5279107262016214,0.5279107262016214,0.15559791020162173,0.04547301942287707,0.25822319999430543,0.9458333333333333,0.7740429505135388,0.7740429505135388,0.40522875816993464,0.1148577449947313,0.3909378292939937,0,0,0,1,1,1,0,0,1
REMIND 1.3,AME CO2 price $30 (5% p.a.),World,pop,-0.08793025213459016,-0.15277400222621607,-0.15277400222621607,-0.14040920922621603,-0.12498382361551924,-0.11791822761551922,0.08793025213459016,0.15277400222621607,0.15277400222621607,0.14040920922621603,0.12498382361551924,0.11791822761551922,0.16728971962616823,0.5943152454780362,0.5943152454780362,0.590869939707149,0.5127478753541076,0.506137865911237,0,0,0,1,1,1,0,0,1
REMIND 1.3,AME CO2 price $50 (5% p.a.),World,co2intensity,-0.43426934048373966,-1.4687895012574814,-1.1504899082574815,-0.9968007492574816,-0.8435382363544492,-0.7557158597830207,0.43426934048373966,1.4687895012574814,1.1504899082574815,0.9968007492574816,0.8435382363544492,0.7557158597830207,0.8045540796963947,0.8875576036866359,0.8875576036866359,0.8267281105990784,0.8935762224352828,0.8734419942473634,0,0,0,0,0,0,0,0,0
REMIND 1.3,AME CO2 price $50 (5% p.a.),World,energyintensity,-1.297288624226806,0.747230511973088,1.105632389973088,0.8798062979730884,0.07580909817313342,-0.05323438296972349,1.297288624226806,0.747230511973088,1.105632389973088,0.8798062979730884,0.07580909817313342,0.05323438296972349,0.8813559322033898,0.6976525821596244,0.8187793427230047,0.7633802816901408,0.1189710610932476,0.06966773847802786,0,0,0,0,0,0,0,0,0
REMIND 1.3,AME CO2 price $50 (5% p.a.),World,fossilco2,-1.0364995571062519,-1.4092775314491894,-0.7325760604491895,-0.42003538444918953,-0.8628289875879305,-0.6842343155879305,1.0364995571062519,1.4092775314491894,0.7325760604491895,0.42003538444918953,0.8628289875879305,0.6842343155879305,0.7570093457943925,0.657298277425204,0.37262012692656393,0.22121486854034453,0.5552407932011332,0.4343720491029273,0,0,0,0,0,0,0,0,0
REMIND 1.3,AME CO2 price $50 (5% p.a.),World,pcgdpmer,0.782988659738884,-0.5349445399385799,-0.5349445399385799,-0.16263172393858027,0.029883974208904596,0.24263415478033298,0.782988659738884,0.5349445399385799,0.5349445399385799,0.16263172393858027,0.029883974208904596,0.24263415478033298,0.928125,0.7787114845938375,0.7787114845938375,0.5378151260504201,0.09062170706006323,0.3719704952581665,0,0,0,0,0,0,0,0,0
REMIND 1.3,AME CO2 price $50 (5% p.a.),World,pop,-0.08793025213459016,-0.15277400222621607,-0.15277400222621607,-0.14040920922621603,-0.12498382361551924,-0.11791822761551922,0.08793025213459016,0.15277400222621607,0.15277400222621607,0.14040920922621603,0.12498382361551924,0.11791822761551922,0.16728971962616823,0.5943152454780362,0.5943152454780362,0.590869939707149,0.5127478753541076,0.506137865911237,0,0,0,0,0,0,0,0,0
REMIND 1.3,AME Reference,World,co2intensity,0.5546030544631155,0.6377149753495346,0.9560145683495345,1.1097037273495345,0.783981062398212,0.8718034389696405,0.5546030544631155,0.6377149753495346,0.9560145683495345,1.1097037273495345,0.783981062398212,0.8718034389696405,0.8738140417457305,0.6156682027649769,0.8368663594470046,0.9124423963133641,0.8619367209971237,0.9185043144774688,0,0,0,0,0,0,0,0,0
REMIND 1.3,AME Reference,World,energyintensity,-0.02254934234739081,0.8671307140137472,1.2255325920137472,0.9997065000137476,0.6906403344304023,0.5615968532875454,0.02254934234739081,0.8671307140137472,1.2255325920137472,0.9997065000137476,0.6906403344304023,0.5615968532875454,0.022245762711864406,0.7906103286384977,0.8826291079812206,0.8413145539906103,0.7781350482315113,0.6570203644158628,0,0,0,0,0,0,0,0,0
REMIND 1.3,AME Reference,World,fossilco2,1.3192132915100145,0.8510433608479,1.5277448318478999,1.8402855078479,1.4383741717030918,1.6169688437030918,1.3192132915100145,0.8510433608479,1.5277448318478999,1.8402855078479,1.4383741717030918,1.6169688437030918,0.8364485981308412,0.4542157751586582,0.7914777878513146,0.8766999093381687,0.874409820585458,0.9235127478753541,0,0,0,0,0,0,0,0,0
REMIND 1.3,AME Reference,World,pcgdpmer,0.87508983152888,-0.5010283262891657,-0.5010283262891657,-0.12871551028916606,0.08873659848999671,0.30148677906142507,0.87508983152888,0.5010283262891657,0.5010283262891657,0.12871551028916606,0.08873659848999671,0.30148677906142507,0.9583333333333334,0.7581699346405228,0.7581699346405228,0.33613445378151263,0.2107481559536354,0.4720758693361433,0,0,0,0,0,0,0,0,0
REMIND 1.3,AME Reference,World,pop,-0.08793025213459016,-0.15277400222621607,-0.15277400222621607,-0.14040920922621603,-0.12498382361551924,-0.11791822761551922,0.08793025213459016,0.15277400222621607,0.15277400222621607,0.14040920922621603,0.12498382361551924,0.11791822761551922,0.16728971962616823,0.5943152454780362,0.5943152454780362,0.590869939707149,0.5127478753541076,0.506137865911237,0,0,0,0,0,0,0,0,0
