MODEL,SCENARIO,REGION,variable,filter,growtherror,ieadivergencestps2020,2005-2040 divergence from IEA STPS
IMACLIM v1.1,EMF27-550-NucOff,World,fossilco2,0.1%/y tolerance 2005-2040,-0.8969069305882401,0.6487946746056232,-0.01364887047746105
IMACLIM v1.1,EMF27-550-NucOff,World,pcgdpmer,0.1%/y tolerance 2005-2040,NA,-0.30918112297610356,NA
IMACLIM v1.1,EMF27-550-NucOff,World,pop,0.1%/y tolerance 2005-2040,-0.19472432550553687,-0.10295233247825053,-0.14228318663280182
IMAGE 2.4,AME CO2 price $10 (5% p.a.),World,co2intensity,0.1%/y tolerance 2005-2040,-0.013469428017893748,0.14243280646477502,0.07561756311505982
IMAGE 2.4,AME CO2 price $10 (5% p.a.),World,energyintensity,0.1%/y tolerance 2005-2040,-0.5596878771337044,-0.18901886734985174,-0.3478770144000743
IMAGE 2.4,AME CO2 price $10 (5% p.a.),World,fossilco2,0.1%/y tolerance 2005-2040,-0.1689101210904227,0.20084539892661174,0.04237874749073983
IMAGE 2.4,AME CO2 price $10 (5% p.a.),World,pcgdpmer,0.1%/y tolerance 2005-2040,0.5091061056723476,0.4091634635624054,0.4519960244666663
IMAGE 2.4,AME CO2 price $10 (5% p.a.),World,pop,0.1%/y tolerance 2005-2040,-0.10485892161117216,-0.16173200375071695,-0.13735782569091204
IMAGE 2.4,AMPERE2-550-FullTech-LST,World,co2intensity,0.1%/y tolerance 2005-2040,0.009307075432565703,-0.06855546992554315,-0.03518580762921079
IMAGE 2.4,AMPERE2-550-FullTech-LST,World,energyintensity,0.1%/y tolerance 2005-2040,-1.0050518375271658,-0.37413761869460804,-0.6445294267657042
IMAGE 2.4,AMPERE2-550-FullTech-LST,World,fossilco2,0.1%/y tolerance 2005-2040,-0.13455361549361866,0.21561763231947298,0.06554424039957657
IMAGE 2.4,AMPERE2-550-FullTech-LST,World,pcgdpmer,0.1%/y tolerance 2005-2040,0.9643031490971419,0.7600777402286122,0.847602915457982
IMAGE 2.4,AMPERE2-550-FullTech-LST,World,pop,0.1%/y tolerance 2005-2040,-0.10311200249616048,-0.10176701928898801,-0.10234344066349049
IMAGE 2.4,AMPERE3-450P-CE,World,co2intensity,0.1%/y tolerance 2005-2040,-0.043756262945609636,-0.08442291438203525,-0.06699434948070998
IMAGE 2.4,AMPERE3-450P-CE,World,energyintensity,0.1%/y tolerance 2005-2040,-0.6742737614269521,-0.7048494327880354,-0.6917455736332854
IMAGE 2.4,AMPERE3-450P-CE,World,fossilco2,0.1%/y tolerance 2005-2040,0.1431611222284197,-0.13096162623044644,-0.013480448319503804
IMAGE 2.4,AMPERE3-450P-CE,World,pcgdpmer,0.1%/y tolerance 2005-2040,0.9643031490971419,0.7600777402286122,0.847602915457982
IMAGE 2.4,AMPERE3-450P-CE,World,pop,0.1%/y tolerance 2005-2040,-0.10311200249616048,-0.10176701928898801,-0.10234344066349049
IMAGE 2.4,AMPERE3-550,World,co2intensity,0.1%/y tolerance 2005-2040,-0.08498740740752653,-0.07259777948731677,-0.07790762002454951
IMAGE 2.4,AMPERE3-550,World,energyintensity,0.1%/y tolerance 2005-2040,-0.9112750575694502,-0.4292896002449801,-0.6358547962411815
IMAGE 2.4,AMPERE3-550,World,fossilco2,0.1%/y tolerance 2005-2040,-0.1350713183759953,0.15642334120732732,0.03149705852876049
IMAGE 2.4,AMPERE3-550,World,pcgdpmer,0.1%/y tolerance 2005-2040,0.9643031490971419,0.7600777402286122,0.847602915457982
IMAGE 2.4,AMPERE3-550,World,pop,0.1%/y tolerance 2005-2040,-0.10311200249616048,-0.10176701928898801,-0.10234344066349049
IMAGE 2.4,LIMITS-RefPol2030-500,World,co2intensity,0.1%/y tolerance 2005-2040,-0.001974614276122999,0.10319252564304876,0.058120894249118
IMAGE 2.4,LIMITS-RefPol2030-500,World,energyintensity,0.1%/y tolerance 2005-2040,-0.4119121986412855,-0.4969267079530101,-0.46049191824798524
IMAGE 2.4,LIMITS-RefPol2030-500,World,fossilco2,0.1%/y tolerance 2005-2040,-0.009641586222377763,-0.1463014742610797,-0.08773295081592172
IMAGE 2.4,LIMITS-RefPol2030-500,World,pcgdpmer,0.1%/y tolerance 2005-2040,0.5091029691592301,0.40916487206737984,0.45199548510674425
IMAGE 2.4,LIMITS-RefPol2030-500,World,pop,0.1%/y tolerance 2005-2040,-0.10485774246419943,-0.16173216401849821,-0.13735741192379872
IMAGE 2.4,LIMITS-StrPol,World,co2intensity,0.1%/y tolerance 2005-2040,-0.09918793110495105,0.15351712459690575,0.04521495786753854
IMAGE 2.4,LIMITS-StrPol,World,energyintensity,0.1%/y tolerance 2005-2040,-0.7077525604608359,-0.01864986846797112,-0.31397959360777034
IMAGE 2.4,LIMITS-StrPol,World,fossilco2,0.1%/y tolerance 2005-2040,-0.40269526487075624,0.38229996417781625,0.045873437442713744
IMAGE 2.4,LIMITS-StrPol,World,pcgdpmer,0.1%/y tolerance 2005-2040,0.5091029691592301,0.40916487206737984,0.45199548510674425
IMAGE 2.4,LIMITS-StrPol,World,pop,0.1%/y tolerance 2005-2040,-0.10485774246419943,-0.16173216401849821,-0.13735741192379872
KEI-Linkages,AME CO2 price $30 (5% p.a.),World,co2intensity,0.1%/y tolerance 2005-2040,0.013866082846662797,0.734644457487369,0.42573943978420914
KEI-Linkages,AME CO2 price $30 (5% p.a.),World,energyintensity,0.1%/y tolerance 2005-2040,-0.35628838743738167,-0.3666332658995771,-0.3621997465586362
KEI-Linkages,AME CO2 price $30 (5% p.a.),World,fossilco2,0.1%/y tolerance 2005-2040,0.013254448711714772,-0.08436221987465248,-0.042526504766209366
