MODEL,SCENARIO,REGION,variable,percent,resulttype
IMAGE,SSP2-Baseline,OECD90,pop,-0.07924894651913172,growtherror
IMAGE,SSP2-Baseline,REF,pop,-0.09868894381966548,growtherror
IMAGE,SSP2-Baseline,World,pop,-0.12152727524881324,growtherror
IMAGE,SSP3-Baseline,ASIA,pop,-0.013350404790625658,growtherror
IMAGE,SSP3-Baseline,LAM,pop,0.03746606213730774,growtherror
IMAGE,SSP3-Baseline,MAF,pop,-0.17471395746458418,growtherror
IMAGE,SSP3-Baseline,OECD90,pop,-0.18019229273300863,growtherror
IMAGE,SSP3-Baseline,REF,pop,-0.05834208666108953,growtherror
IMAGE,SSP3-Baseline,World,pop,-0.056308669398340117,growtherror
IMAGE,SSP4-Baseline,ASIA,pop,-0.1299509524294934,growtherror
IMAGE,SSP4-Baseline,LAM,pop,-0.12016732767674276,growtherror
IMAGE,SSP4-Baseline,MAF,pop,-0.20722433784827876,growtherror
IMAGE,SSP4-Baseline,OECD90,pop,-0.11722709454729707,growtherror
IMAGE,SSP4-Baseline,REF,pop,-0.1550161304533152,growtherror
IMAGE,SSP4-Baseline,World,pop,-0.13135508820554698,growtherror
IMAGE,SSP5-Baseline,ASIA,pop,-0.18641811915424666,growtherror
IMAGE,SSP5-Baseline,LAM,pop,-0.21662113648723258,growtherror
IMAGE,SSP5-Baseline,MAF,pop,-0.4581567213475499,growtherror
IMAGE,SSP5-Baseline,OECD90,pop,0.025310435320532232,growtherror
IMAGE,SSP5-Baseline,REF,pop,-0.14764160934945367,growtherror
IMAGE,SSP5-Baseline,World,pop,-0.19719550148320952,growtherror
MESSAGE-GLOBIOM,SSP1-Baseline,ASIA,pop,-0.22398430956976711,growtherror
MESSAGE-GLOBIOM,SSP1-Baseline,LAM,pop,-0.18674723473098942,growtherror
MESSAGE-GLOBIOM,SSP1-Baseline,MAF,pop,-0.46109688447419606,growtherror
MESSAGE-GLOBIOM,SSP1-Baseline,OECD90,pop,-0.06060224306813433,growtherror
MESSAGE-GLOBIOM,SSP1-Baseline,REF,pop,-0.14993015033504253,growtherror
MESSAGE-GLOBIOM,SSP1-Baseline,World,pop,-0.22961099817156772,growtherror
MESSAGE-GLOBIOM,SSP2-Baseline,ASIA,pop,-0.1357890571276571,growtherror
MESSAGE-GLOBIOM,SSP2-Baseline,LAM,pop,-0.09023315602485948,growtherror
MESSAGE-GLOBIOM,SSP2-Baseline,MAF,pop,-0.3126882875592938,growtherror
MESSAGE-GLOBIOM,SSP2-Baseline,OECD90,pop,-0.07513781607699477,growtherror
MESSAGE-GLOBIOM,SSP2-Baseline,REF,pop,-0.10166469465387794,growtherror
MESSAGE-GLOBIOM,SSP2-Baseline,World,pop,-0.1460457026689681,growtherror
MESSAGE-GLOBIOM,SSP3-Baseline,ASIA,pop,-0.056351959528564644,growtherror
MESSAGE-GLOBIOM,SSP3-Baseline,LAM,pop,0.035095403675788894,growtherror
MESSAGE-GLOBIOM,SSP3-Baseline,MAF,pop,-0.18101115925014,growtherror
MESSAGE-GLOBIOM,SSP3-Baseline,OECD90,pop,-0.1761616109300056,growtherror
MESSAGE-GLOBIOM,SSP3-Baseline,REF,pop,-0.06174795154538483,growtherror
MESSAGE-GLOBIOM,SSP3-Baseline,World,pop,-0.08098727357584035,growtherror
REMIND-MAGPIE,SSP1-Baseline,ASIA,pop,-0.1848626747901222,growtherror
REMIND-MAGPIE,SSP1-Baseline,LAM,pop,-0.17730819713159096,growtherror
REMIND-MAGPIE,SSP1-Baseline,MAF,pop,-0.48736209102450934,growtherror
REMIND-MAGPIE,SSP1-Baseline,OECD90,pop,-0.11110970558358818,growtherror
REMIND-MAGPIE,SSP1-Baseline,REF,pop,-0.30818070234357453,growtherror
REMIND-MAGPIE,SSP1-Baseline,World,pop,-0.20801201982182904,growtherror
REMIND-MAGPIE,SSP2-Baseline,ASIA,pop,-0.09627334730769088,growtherror
REMIND-MAGPIE,SSP2-Baseline,LAM,pop,-0.0804390605905354,growtherror
REMIND-MAGPIE,SSP2-Baseline,MAF,pop,-0.3415682357820726,growtherror
REMIND-MAGPIE,SSP2-Baseline,OECD90,pop,-0.1236282915326114,growtherror
REMIND-MAGPIE,SSP2-Baseline,REF,pop,-0.270515818729445,growtherror
