MODEL,SCENARIO,REGION,variable,DATABASE,sensitivity,percent
EC-IAM 2012,EMF27-Base-EERE,ASIA,pcgdpmer,AR5,percent,-1.1963037748141991
EC-IAM 2012,EMF27-Base-EERE,LAM,pcgdpmer,AR5,percent,0.573671238173052
EC-IAM 2012,EMF27-Base-EERE,OECD90,pcgdpmer,AR5,percent,0.6061674947416851
EC-IAM 2012,EMF27-Base-EERE,REF,pcgdpmer,AR5,percent,0.6657369228772803
EC-IAM 2012,EMF27-Base-EERE,World,pcgdpmer,AR5,percent,-0.18323246291095252
EC-IAM 2012,EMF27-Base-FullTech,ASIA,pcgdpmer,AR5,percent,-1.2545242710436828
EC-IAM 2012,EMF27-Base-FullTech,LAM,pcgdpmer,AR5,percent,0.559813921814686
EC-IAM 2012,EMF27-Base-FullTech,OECD90,pcgdpmer,AR5,percent,0.5925259346911078
EC-IAM 2012,EMF27-Base-FullTech,REF,pcgdpmer,AR5,percent,0.6764468421064671
EC-IAM 2012,EMF27-Base-FullTech,World,pcgdpmer,AR5,percent,-0.2010100308894276
EC-IAM 2012,EMF27-Base-LimBio,ASIA,pcgdpmer,AR5,percent,-1.2543219432611965
EC-IAM 2012,EMF27-Base-LimBio,LAM,pcgdpmer,AR5,percent,0.5598080820483502
EC-IAM 2012,EMF27-Base-LimBio,OECD90,pcgdpmer,AR5,percent,0.592361218346378
EC-IAM 2012,EMF27-Base-LimBio,REF,pcgdpmer,AR5,percent,0.6764247789017639
EC-IAM 2012,EMF27-Base-LimBio,World,pcgdpmer,AR5,percent,-0.20116136306530263
EC-IAM 2012,EMF27-Base-LimSW,ASIA,pcgdpmer,AR5,percent,-1.254254227228521
EC-IAM 2012,EMF27-Base-LimSW,LAM,pcgdpmer,AR5,percent,0.5598117927613138
EC-IAM 2012,EMF27-Base-LimSW,OECD90,pcgdpmer,AR5,percent,0.5925044790042924
EC-IAM 2012,EMF27-Base-LimSW,REF,pcgdpmer,AR5,percent,0.6774585572242291
EC-IAM 2012,EMF27-Base-LimSW,World,pcgdpmer,AR5,percent,-0.20099500584818708
EC-IAM 2012,EMF27-Base-LimTech,ASIA,pcgdpmer,AR5,percent,-1.2544468337670616
EC-IAM 2012,EMF27-Base-LimTech,LAM,pcgdpmer,AR5,percent,0.5597077472897509
EC-IAM 2012,EMF27-Base-LimTech,OECD90,pcgdpmer,AR5,percent,0.5924162245501772
EC-IAM 2012,EMF27-Base-LimTech,REF,pcgdpmer,AR5,percent,0.6619835830212084
EC-IAM 2012,EMF27-Base-LimTech,World,pcgdpmer,AR5,percent,-0.201177545810864
EC-IAM 2012,EMF27-Base-LowEI,ASIA,pcgdpmer,AR5,percent,-1.1962562197168698
EC-IAM 2012,EMF27-Base-LowEI,LAM,pcgdpmer,AR5,percent,0.5736815607266963
EC-IAM 2012,EMF27-Base-LowEI,OECD90,pcgdpmer,AR5,percent,0.606268372486823
EC-IAM 2012,EMF27-Base-LowEI,REF,pcgdpmer,AR5,percent,0.6644565246148662
EC-IAM 2012,EMF27-Base-LowEI,World,pcgdpmer,AR5,percent,-0.18316424551469357
EC-IAM 2012,EMF27-Base-NucOff,ASIA,pcgdpmer,AR5,percent,-1.2546650243180342
EC-IAM 2012,EMF27-Base-NucOff,LAM,pcgdpmer,AR5,percent,0.5597532417043154
EC-IAM 2012,EMF27-Base-NucOff,OECD90,pcgdpmer,AR5,percent,0.592786027417024
EC-IAM 2012,EMF27-Base-NucOff,REF,pcgdpmer,AR5,percent,0.6830459997252434
EC-IAM 2012,EMF27-Base-NucOff,World,pcgdpmer,AR5,percent,-0.20084555225113343
ENV-Linkages (WEO2012 calibration),EMF27-Base-Conv,ASIA,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-Conv,LAM,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-Conv,MAF,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-Conv,OECD90,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-Conv,REF,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-Conv,World,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-FullTech,ASIA,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-FullTech,LAM,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-FullTech,MAF,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-FullTech,OECD90,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-FullTech,REF,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-FullTech,World,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimBio,ASIA,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimBio,LAM,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimBio,MAF,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimBio,OECD90,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimBio,REF,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimBio,World,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimSW,ASIA,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimSW,LAM,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimSW,MAF,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimSW,OECD90,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimSW,REF,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimSW,World,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-NucOff,ASIA,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-NucOff,LAM,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-NucOff,MAF,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-NucOff,OECD90,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-NucOff,REF,pcgdpmer,AR5,percent,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-NucOff,World,pcgdpmer,AR5,percent,NA
FARM_3.0,EMF27-Base-Conv,ASIA,pcgdpmer,AR5,percent,-0.3222131056432196
