MODEL,SCENARIO,REGION,variable,percent,resulttype,sensadj1,sensadj2,DATABASE,grerrsens1,grerrsens2
WITCH_ROSE,ROSE BAU HI Fos,REF,pcgdpmer,1.2823597545001935,growtherror,0.7606638175974099,0.06938373987776814,AR5,0.5216959369027836,1.2129760146224253
WITCH_ROSE,ROSE BAU HI Fos,World,pcgdpmer,0.775961483191606,growtherror,0.28066366201143733,0.08625502887974612,AR5,0.49529782118016863,0.6897064543118598
WITCH_ROSE,ROSE BAU HI Gas,ASIA,pcgdpmer,0.5915425704726827,growtherror,-0.11534761796874271,-0.18413339302708653,AR5,0.7068901884414254,0.7756759634997692
WITCH_ROSE,ROSE BAU HI Gas,LAM,pcgdpmer,2.1342236482196646,growtherror,0.09611336166010664,-0.2811606209436719,AR5,2.038110286559558,2.4153842691633365
WITCH_ROSE,ROSE BAU HI Gas,MAF,pcgdpmer,2.2949152643781026,growtherror,0.10016240169222135,-0.3435738230950709,AR5,2.194752862685881,2.6384890874731735
WITCH_ROSE,ROSE BAU HI Gas,OECD90,pcgdpmer,0.9190618945712803,growtherror,0.371857896203182,0.20335995390724138,AR5,0.5472039983680983,0.7157019406640389
WITCH_ROSE,ROSE BAU HI Gas,REF,pcgdpmer,1.277090820645097,growtherror,0.7606638175974099,0.06938373987776814,AR5,0.5164270030476872,1.207707080767329
WITCH_ROSE,ROSE BAU HI Gas,World,pcgdpmer,0.7678970082188745,growtherror,0.28066366201143733,0.08625502887974612,AR5,0.4872333462074372,0.6816419793391284
WITCH_ROSE,ROSE BAU HI Pop,ASIA,pcgdpmer,-0.8000936312215257,growtherror,-0.11534761796874271,-0.18413339302708653,AR5,-0.684746013252783,-0.6159602381944391
WITCH_ROSE,ROSE BAU HI Pop,LAM,pcgdpmer,1.2618600998317446,growtherror,0.09611336166010664,-0.2811606209436719,AR5,1.165746738171638,1.5430207207754165
WITCH_ROSE,ROSE BAU HI Pop,MAF,pcgdpmer,1.5644298463930197,growtherror,0.10016240169222135,-0.3435738230950709,AR5,1.4642674447007984,1.9080036694880906
WITCH_ROSE,ROSE BAU HI Pop,OECD90,pcgdpmer,0.4810147168386585,growtherror,0.371857896203182,0.20335995390724138,AR5,0.10915682063547649,0.2776547629314171
WITCH_ROSE,ROSE BAU HI Pop,REF,pcgdpmer,0.8193587202311992,growtherror,0.7606638175974099,0.06938373987776814,AR5,0.05869490263378929,0.749974980353431
WITCH_ROSE,ROSE BAU HI Pop,World,pcgdpmer,0.11293836513941624,growtherror,0.28066366201143733,0.08625502887974612,AR5,-0.1677252968720211,0.02668333625967012
WITCH_ROSE,ROSE BAU LO Fos,ASIA,pcgdpmer,0.5580862219207103,growtherror,-0.11534761796874271,-0.18413339302708653,AR5,0.673433839889453,0.7422196149477969
WITCH_ROSE,ROSE BAU LO Fos,LAM,pcgdpmer,2.1576376670494146,growtherror,0.09611336166010664,-0.2811606209436719,AR5,2.061524305389308,2.4387982879930865
WITCH_ROSE,ROSE BAU LO Fos,MAF,pcgdpmer,2.3632382181306206,growtherror,0.10016240169222135,-0.3435738230950709,AR5,2.2630758164383993,2.7068120412256915
WITCH_ROSE,ROSE BAU LO Fos,OECD90,pcgdpmer,0.901549298926835,growtherror,0.371857896203182,0.20335995390724138,AR5,0.529691402723653,0.6981893450195936
WITCH_ROSE,ROSE BAU LO Fos,REF,pcgdpmer,1.2641775214159923,growtherror,0.7606638175974099,0.06938373987776814,AR5,0.5035137038185824,1.1947937815382241
WITCH_ROSE,ROSE BAU LO Fos,World,pcgdpmer,0.755462845349395,growtherror,0.28066366201143733,0.08625502887974612,AR5,0.4747991833379577,0.6692078164696489
WITCH_ROSE,ROSE BAU LO Oil,ASIA,pcgdpmer,0.5846201488893727,growtherror,-0.11534761796874271,-0.18413339302708653,AR5,0.6999677668581155,0.7687535419164593
WITCH_ROSE,ROSE BAU LO Oil,LAM,pcgdpmer,2.1590008046212525,growtherror,0.09611336166010664,-0.2811606209436719,AR5,2.062887442961146,2.4401614255649244
WITCH_ROSE,ROSE BAU LO Oil,MAF,pcgdpmer,2.3628619676879317,growtherror,0.10016240169222135,-0.3435738230950709,AR5,2.2626995659957103,2.7064357907830026
WITCH_ROSE,ROSE BAU LO Oil,OECD90,pcgdpmer,0.906742550439974,growtherror,0.371857896203182,0.20335995390724138,AR5,0.534884654236792,0.7033825965327326
WITCH_ROSE,ROSE BAU LO Oil,REF,pcgdpmer,1.278810735412823,growtherror,0.7606638175974099,0.06938373987776814,AR5,0.5181469178154132,1.209426995535055
WITCH_ROSE,ROSE BAU LO Oil,World,pcgdpmer,0.7643935382161735,growtherror,0.28066366201143733,0.08625502887974612,AR5,0.4837298762047362,0.6781385093364274
WITCH_ROSE,ROSE BAU LO Oil HI Gas,ASIA,pcgdpmer,0.5831194615785049,growtherror,-0.11534761796874271,-0.18413339302708653,AR5,0.6984670795472476,0.76725285460559145
WITCH_ROSE,ROSE BAU LO Oil HI Gas,LAM,pcgdpmer,2.1589235073862345,growtherror,0.09611336166010664,-0.2811606209436719,AR5,2.062810145726128,2.4400841283299064
WITCH_ROSE,ROSE BAU LO Oil HI Gas,MAF,pcgdpmer,2.3627473421725473,growtherror,0.10016240169222135,-0.3435738230950709,AR5,2.262584940480326,2.7063211652676182
WITCH_ROSE,ROSE BAU LO Oil HI Gas,OECD90,pcgdpmer,0.9064721940103095,growtherror,0.371857896203182,0.20335995390724138,AR5,0.5346142978071275,0.7031122401030682
WITCH_ROSE,ROSE BAU LO Oil HI Gas,REF,pcgdpmer,1.2780304245081853,growtherror,0.7606638175974099,0.06938373987776814,AR5,0.5173666069107754,1.2086466846304171
WITCH_ROSE,ROSE BAU LO Oil HI Gas,World,pcgdpmer,0.7638978916744916,growtherror,0.28066366201143733,0.08625502887974612,AR5,0.4832342296630543,0.6776428627947455
WITCH_ROSE,ROSE BAU SL Gr,ASIA,pcgdpmer,1.0177649633547616,growtherror,-0.11534761796874271,-0.18413339302708653,AR5,1.1331125813235043,1.2018983563818482
