MODEL,SCENARIO,REGION,variable,percent,resulttype
DNE21 V.12,AMPERE2-Base-NucOff-OPT,MAF,fossilco2,0.7523802741482739,growtherror
DNE21 V.12,AMPERE2-Base-NucOff-OPT,OECD90,fossilco2,2.6415162973884274,growtherror
DNE21 V.12,AMPERE2-Base-NucOff-OPT,REF,fossilco2,1.4073082560495107,growtherror
DNE21 V.12,AMPERE2-Base-NucOff-OPT,World,fossilco2,1.3027812345576557,growtherror
DNE21 V.12,AMPERE3-Base,ASIA,fossilco2,0.2503797726239476,growtherror
DNE21 V.12,AMPERE3-Base,LAM,fossilco2,0.8565765674408063,growtherror
DNE21 V.12,AMPERE3-Base,MAF,fossilco2,0.4518644441505959,growtherror
DNE21 V.12,AMPERE3-Base,OECD90,fossilco2,2.18399577178805,growtherror
DNE21 V.12,AMPERE3-Base,REF,fossilco2,0.7714068393790423,growtherror
DNE21 V.12,AMPERE3-Base,World,fossilco2,0.8786038232443703,growtherror
DNE21 V.12,Carbon tax 0,ASIA,fossilco2,0.265987749560761,growtherror
DNE21 V.12,Carbon tax 0,LAM,fossilco2,0.887425201651054,growtherror
DNE21 V.12,Carbon tax 0,MAF,fossilco2,0.4934545348283499,growtherror
DNE21 V.12,Carbon tax 0,OECD90,fossilco2,1.691973668265918,growtherror
DNE21 V.12,Carbon tax 0,REF,fossilco2,0.7748186366519861,growtherror
DNE21 V.12,Carbon tax 0,World,fossilco2,0.7420913295001548,growtherror
EC-IAM 2012,EMF27-Base-Conv,ASIA,fossilco2,-0.3949359068880951,growtherror
EC-IAM 2012,EMF27-Base-Conv,LAM,fossilco2,-0.320822080413836,growtherror
EC-IAM 2012,EMF27-Base-Conv,OECD90,fossilco2,1.431011863403038,growtherror
EC-IAM 2012,EMF27-Base-Conv,REF,fossilco2,0.8994811035200634,growtherror
EC-IAM 2012,EMF27-Base-Conv,World,fossilco2,-0.07534293869991449,growtherror
EC-IAM 2012,EMF27-Base-EERE,ASIA,fossilco2,-0.7504088827485886,growtherror
EC-IAM 2012,EMF27-Base-EERE,LAM,fossilco2,-0.6745186475425486,growtherror
EC-IAM 2012,EMF27-Base-EERE,OECD90,fossilco2,1.1928652145793441,growtherror
EC-IAM 2012,EMF27-Base-EERE,REF,fossilco2,0.6301363244395297,growtherror
EC-IAM 2012,EMF27-Base-EERE,World,fossilco2,-0.38430106574889633,growtherror
EC-IAM 2012,EMF27-Base-FullTech,ASIA,fossilco2,-0.42344459685762015,growtherror
EC-IAM 2012,EMF27-Base-FullTech,LAM,fossilco2,-0.3196549002226188,growtherror
EC-IAM 2012,EMF27-Base-FullTech,OECD90,fossilco2,1.4270608815160766,growtherror
EC-IAM 2012,EMF27-Base-FullTech,REF,fossilco2,0.9019326689178798,growtherror
EC-IAM 2012,EMF27-Base-FullTech,World,fossilco2,-0.09263600287357399,growtherror
EC-IAM 2012,EMF27-Base-LimBio,ASIA,fossilco2,-0.4226760449508462,growtherror
EC-IAM 2012,EMF27-Base-LimBio,LAM,fossilco2,-0.32032418785997785,growtherror
EC-IAM 2012,EMF27-Base-LimBio,OECD90,fossilco2,1.4307179876577052,growtherror
EC-IAM 2012,EMF27-Base-LimBio,REF,fossilco2,0.9018642373251969,growtherror
EC-IAM 2012,EMF27-Base-LimBio,World,fossilco2,-0.08790506709401869,growtherror
EC-IAM 2012,EMF27-Base-LimSW,ASIA,fossilco2,-0.3956755912452494,growtherror
EC-IAM 2012,EMF27-Base-LimSW,LAM,fossilco2,-0.32013041897642003,growtherror
EC-IAM 2012,EMF27-Base-LimSW,OECD90,fossilco2,1.427238640916331,growtherror
EC-IAM 2012,EMF27-Base-LimSW,REF,fossilco2,0.899544797387737,growtherror
EC-IAM 2012,EMF27-Base-LimSW,World,fossilco2,-0.08036578187119225,growtherror
EC-IAM 2012,EMF27-Base-LimTech,ASIA,fossilco2,-0.39473891899114344,growtherror
EC-IAM 2012,EMF27-Base-LimTech,LAM,fossilco2,-0.3252509325678168,growtherror
EC-IAM 2012,EMF27-Base-LimTech,OECD90,fossilco2,1.4039186685758145,growtherror
EC-IAM 2012,EMF27-Base-LimTech,REF,fossilco2,0.8919565668895639,growtherror
EC-IAM 2012,EMF27-Base-LimTech,World,fossilco2,-0.06886096442425638,growtherror
EC-IAM 2012,EMF27-Base-LowEI,ASIA,fossilco2,-0.7504569024867949,growtherror
EC-IAM 2012,EMF27-Base-LowEI,LAM,fossilco2,-0.6740745490077547,growtherror
EC-IAM 2012,EMF27-Base-LowEI,OECD90,fossilco2,1.1944089572872083,growtherror
